Status,FeatureType,PropertyName,Borough,Longitude,Latitude
Activated,Drinking Fountain Spray Adapter,Hot Spot Tot Lot,Brooklyn,"996,303.09","169,223.97"
Broken,Buckner Box Spray Adapter,Tilden Playground,Brooklyn,"1,003,281.64","175,285.77"
Activated,Misting Station,De Hostos Playground,Brooklyn,"998,321.52","195,178.03"
Activated,Misting Station,Rodney Park North,Brooklyn,"996,379.02","197,587.76"
Activated,Misting Station,Fermi Playground,Brooklyn,"1,004,133.06","194,402.05"
Activated,Misting Station,St. John's Park,Brooklyn,"1,002,191.73","184,928.36"
Activated,Misting Station,Harry Maze Playground,Brooklyn,"1,005,456.24","173,887.94"
Broken,Misting Station,Martin Luther King Jr. Playground,Brooklyn,"1,014,679.25","182,324.15"
Broken,Misting Station,Remsen Playground,Brooklyn,"1,009,869.04","173,198.24"
Activated,Drinking Fountain Spray Adapter,Railroad Playground,Brooklyn,"1,008,095.57","175,813.61"
Activated,Other,Van Cortlandt Park,Bronx,"1,012,979.48","264,907.95"
Activated,CS Spray Adapter,St. Mary's Park,Bronx,"1,009,039.15","234,367.13"
Activated,Misting Station,Rienzi Playground,Bronx,"1,023,310.77","262,694.94"
Activated,Misting Station,Mount Hope Playground,Bronx,"1,009,388.39","249,100.42"
Activated,Misting Station,Jackie Robinson Park,Manhattan,"1,000,914.97","240,895.40"
Activated,Buckner Box Spray Adapter,Jackie Robinson Park,Manhattan,"1,000,561.64","240,309.85"
Activated,CS Spray Adapter,Annunciation Playground,Manhattan,"997,514.01","237,522.66"
Activated,Misting Station,Col. Young Playground,Manhattan,"1,001,906.85","237,688.07"
Activated,Misting Station,Donnellan Square,Manhattan,"1,000,071.15","240,491.80"
Activated,CS Spray Adapter,Sheltering Arms Playground,Manhattan,"996,432.78","236,327.58"
Broken,Misting Station,Newport Playground,Brooklyn,"1,009,984.02","180,112.30"
Activated,RPZ Spray Adapter,Decatur Playground,Brooklyn,"1,001,842.74","187,479.64"
Broken,Misting Station,Curtis Playground,Brooklyn,"1,007,207.68","172,808.17"
Activated,Other,Claremont Park,Bronx,"1,010,420.09","245,547.22"
Activated,Misting Station,Taylor Playground,Bronx,"1,021,293.54","244,969.60"
,Misting Station,Inwood Hill Park,Manhattan,"1,005,818.38","256,070.94"
,Misting Station,Inwood Hill Park,Manhattan,"1,003,948.71","255,278.49"
,Misting Station,Inwood Park,Manhattan,"1,003,742.04","257,806.20"
Broken,Misting Station,Houston Playground,Brooklyn,"1,010,558.60","184,124.64"
Broken,RPZ Spray Adapter,Fish Playground,Brooklyn,"1,008,024.78","186,424.84"
Activated,Misting Station,Highbridge Park,Manhattan,"1,004,796.21","252,009.91"
,Misting Station,Highbridge Park,Manhattan,"1,005,068.94","251,786.07"
Activated,RPZ Spray Adapter,Highbridge Park,Manhattan,"1,001,920.39","244,556.26"
Activated,Drinking Fountain Spray Adapter,Highbridge Park,Manhattan,"1,000,822.82","242,280.27"
Activated,Misting Station,Wright Brothers Playground,Manhattan,"1,000,323.93","242,352.69"
Activated,Other,Harmony Park,Brooklyn,"1,002,343.50","186,291.01"
Activated,CS Spray Adapter,Renaissance Playground,Manhattan,"1,000,385.12","238,634.54"
Not Yet Activated,Misting Station,Fred Samuel Playground,Manhattan,"1,001,129.51","237,066.07"
Activated,Misting Station,St. Nicholas Playground South,Manhattan,"998,896.17","234,868.44"
Activated,Misting Station,"Martin Luther King, Jr. Playground",Manhattan,"997,956.96","230,885.59"
Activated,Misting Station,Wagner Houses Pool,Manhattan,"1,002,943.22","231,334.14"
Activated,Misting Station,John Jay Park,Manhattan,"998,285.66","219,463.96"
Broken,Misting Station,Jerome Playground,Brooklyn,"1,017,681.22","179,338.79"
Broken,Buckner Box Spray Adapter,Sankofa Park,Brooklyn,"1,015,836.09","181,774.64"
Broken,Misting Station,Grace Playground,Brooklyn,"1,013,480.29","183,772.16"
Activated,Misting Station,P.O. Reinaldo Salgado Playground,Brooklyn,"1,004,900.89","189,910.30"
Broken,Misting Station,Zion Triangle,Brooklyn,"1,006,834.27","182,898.59"
Broken,Misting Station,Zion Triangle,Brooklyn,"1,006,795.97","182,926.54"
Activated,Drinking Fountain Spray Adapter,Upper Highland Playground,Queens,"1,013,923.80","188,120.49"
Broken,Misting Station,Star Spangled Playground,Brooklyn,"995,837.18","191,319.58"
Activated,Misting Station,Wagner Houses Pool,Manhattan,"1,002,721.09","231,394.08"
Activated,CS Spray Adapter,Inwood Hill Park,Manhattan,"1,005,976.11","256,345.71"
Activated,Misting Station,Kosciuszko Pool,Brooklyn,"998,414.19","191,236.56"
Broken,CS Spray Adapter,P.S. 279 Playground,Brooklyn,"1,013,878.71","174,118.48"
Activated,Misting Station,Marcus Garvey Park,Manhattan,"999,981.29","232,711.73"
Activated,Misting Station,Marcus Garvey Park,Manhattan,"999,844.63","232,695.29"
Broken,Misting Station,Nostrand Playground,Brooklyn,"998,820.71","171,859.35"
Not Yet Activated,Misting Station,Hamilton Fish Park,Manhattan,"989,406.72","201,692.21"
Not Yet Activated,Misting Station,Hamilton Fish Park,Manhattan,"989,501.54","201,758.82"
Activated,Misting Station,Fred Samuel Playground,Manhattan,"1,001,058.54","236,970.54"
Activated,Spray Bollard,Rockaway Beach Boardwalk,Queens,"1,052,981.75","155,492.20"
